Turbidity,Site 1,Site 2 ,Site 3,
9/17/2020,3,0,0.3,
10/2/2020,0,0,0,
10/10/2020,4.3,2,0.7,
11/6/2020,0.7,0,0,
11/13/2020,3,2.7,3.3,post
1/21/2021,0,0.3,0,
2/19/2021,3,2.3,2.3,
,,,,
,,,,
Nitrate,Site 1,Site 2,Site 3,
9/17/2020,2.1,2.9,1.6,
10/2/2020,2.2,2.4,2.1,
10/10/2020,1.3,1.8,0.8,
11/6/2020,2.1,1.6,1.4,
11/13/2020,1.5,1.6,0.7,post
1/21/2021,2.7,1.4,1,
2/19/2021,2.5,1.8,2.1,
,,,,
,,,,
pH,Site 1,Site 2,Site 3,
9/17/2020,7.2,7.2,7.2,
10/2/2020,7.1,7.3,7.3,
10/10/2020,7.2,7.3,7.3,
11/6/2020,7.3,7.3,7.4,
11/13/2020,7.3,7.4,7.4,post
1/21/2021,7.4,7.4,7.3,
2/19/2021,7.2,7.4,7.4,
,,,,
,,,,
Phosphorus,Site 1 ,Site 2,Site 3,
9/17/2020,5.6,6.3,6.1,
10/2/2020,3.5,5,5.5,
10/10/2020,3.5,3.8,3.9,
11/6/2020,4.1,3.8,3.8,
11/13/2020,3.3,2.6,2.7,post
1/21/2021,4.3,4.2,3.7,
2/19/2021,4.2,3.6,4.5,
,,,,
,,,,
DO,Site 1,Site 2,Site 3,
9/17/2020,9.7,11,10.7,
10/2/2020,10.3,10.7,11.3,
10/10/2020,8.7,10,10,
11/6/2020,11.3,11,11.3,
11/13/2020,10,11.3,10,post
1/21/2021,10.7,11,11,
2/19/2021,11.3,11,11.3,
,,,,
,,,,
Potassium,Site 1,Site 2,Site 3,
9/17/2020,3.3,2.6,2.7,
10/2/2020,3.3,3,3.2,
10/10/2020,3.3,2.8,2.8,
11/6/2020,3.4,2.6,2.5,
11/13/2020,3.1,2.7,2.4,post
1/21/2021,3.3,2.9,2.7,
2/19/2021,3.6,2.6,2.6,
